timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726106559021,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-3,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106558987,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1136,217,4,4,https://reqres.in/api/users/1,84,0,0
1726106559001,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1135,217,4,4,https://reqres.in/api/users/2,84,0,0
1726106559086,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-2,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559026,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1136,217,4,4,https://reqres.in/api/users/1,84,0,0
1726106559073,85,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1135,217,4,4,https://reqres.in/api/users/2,85,0,0
1726106559158,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-1,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559089,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1136,217,4,4,https://reqres.in/api/users/1,84,0,0
1726106559111,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1135,217,4,4,https://reqres.in/api/users/2,84,0,0
1726106559196,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-3,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106558968,263,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1135,217,4,4,https://reqres.in/api/users/2,263,0,170
1726106559174,83,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1135,217,4,4,https://reqres.in/api/users/2,83,0,0
1726106559258,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-2,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559198,80,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1136,217,3,3,https://reqres.in/api/users/1,80,0,0
1726106559232,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1135,217,3,3,https://reqres.in/api/users/2,84,0,0
1726106559280,81,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1136,217,3,3,https://reqres.in/api/users/1,81,0,0
